Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Exports,1965-07-31T00:00:00,3007,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1965-08-31T00:00:00,3036,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1965-09-30T00:00:00,2998,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1965-10-31T00:00:00,3086,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1965-11-30T00:00:00,3115,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1965-12-31T00:00:00,3099,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1966-01-31T00:00:00,3006,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1966-02-28T00:00:00,3061,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1966-03-31T00:00:00,3238,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1966-04-30T00:00:00,3218,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1966-05-31T00:00:00,3318,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1966-06-30T00:00:00,3386,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1966-07-31T00:00:00,3236,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1966-08-31T00:00:00,3227,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1966-09-30T00:00:00,3269,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1966-10-31T00:00:00,3445,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1966-11-30T00:00:00,3320,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1966-12-31T00:00:00,3296,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1967-01-31T00:00:00,3549,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1967-02-28T00:00:00,3492,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1967-03-31T00:00:00,3434,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1967-04-30T00:00:00,3497,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1967-05-31T00:00:00,3438,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1967-06-30T00:00:00,3471,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1967-07-31T00:00:00,3448,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1967-08-31T00:00:00,3413,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1967-09-30T00:00:00,3444,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1967-10-31T00:00:00,3325,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1967-11-30T00:00:00,3581,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1967-12-31T00:00:00,3587,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1968-01-31T00:00:00,3753,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1968-02-29T00:00:00,3714,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1968-03-31T00:00:00,3378,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1968-04-30T00:00:00,3834,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1968-05-31T00:00:00,3719,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1968-06-30T00:00:00,3849,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1968-07-31T00:00:00,3871,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1968-08-31T00:00:00,3963,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1968-09-30T00:00:00,4224,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1968-10-31T00:00:00,3674,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1968-11-30T00:00:00,4015,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1968-12-31T00:00:00,4020,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1969-01-31T00:00:00,3122,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1969-02-28T00:00:00,3227,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1969-03-31T00:00:00,4149,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1969-04-30T00:00:00,4412,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1969-05-31T00:00:00,4362,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1969-06-30T00:00:00,4273,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1969-07-31T00:00:00,4264,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1969-08-31T00:00:00,4448,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1969-09-30T00:00:00,4423,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1969-10-31T00:00:00,4473,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1969-11-30T00:00:00,4529,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1969-12-31T00:00:00,4411,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1970-01-31T00:00:00,4484,Monthly,TBEXTOT,2016-03-04T14:46:00
