Symbol,Date,Open,High,Low,Close,
SPGSCITR:IND,1991-09-19,2473.5,2473.5,2473.5,2473.5,
SPGSCITR:IND,1991-09-18,2472.9,2472.9,2472.9,2472.9,
SPGSCITR:IND,1991-09-17,2448.9,2448.9,2448.9,2448.9,
SPGSCITR:IND,1991-09-16,2465.6,2465.6,2465.6,2465.6,
SPGSCITR:IND,1991-09-13,2459.6,2459.6,2459.6,2459.6,
SPGSCITR:IND,1991-09-12,2450.5,2450.5,2450.5,2450.5,
SPGSCITR:IND,1991-09-11,2453.5,2453.5,2453.5,2453.5,
SPGSCITR:IND,1991-09-10,2442.5,2442.5,2442.5,2442.5,
SPGSCITR:IND,1991-09-09,2441.9,2441.9,2441.9,2441.9,
SPGSCITR:IND,1991-09-06,2454.5,2454.5,2454.5,2454.5,
SPGSCITR:IND,1991-09-05,2455,2455,2455,2455,
SPGSCITR:IND,1991-09-04,2453.9,2453.9,2453.9,2453.9,
SPGSCITR:IND,1991-09-03,2474.3,2474.3,2474.3,2474.3,
SPGSCITR:IND,1991-09-02,2479,2479,2479,2479,
SPGSCITR:IND,1991-08-30,2479,2479,2479,2479,
SPGSCITR:IND,1991-08-29,2456.7,2456.7,2456.7,2456.7,
SPGSCITR:IND,1991-08-28,2448.2,2448.2,2448.2,2448.2,
SPGSCITR:IND,1991-08-27,2467.5,2467.5,2467.5,2467.5,
SPGSCITR:IND,1991-08-26,2471.5,2471.5,2471.5,2471.5,
SPGSCITR:IND,1991-08-23,2465.1,2465.1,2465.1,2465.1,
SPGSCITR:IND,1991-08-22,2467.5,2467.5,2467.5,2467.5,
SPGSCITR:IND,1991-08-21,2444.7,2444.7,2444.7,2444.7,
SPGSCITR:IND,1991-08-20,2478.8,2478.8,2478.8,2478.8,
SPGSCITR:IND,1991-08-19,2471.1,2471.1,2471.1,2471.1,
SPGSCITR:IND,1991-08-16,2420.4,2420.4,2420.4,2420.4,
SPGSCITR:IND,1991-08-15,2418.5,2418.5,2418.5,2418.5,
SPGSCITR:IND,1991-08-14,2404.3,2404.3,2404.3,2404.3,
SPGSCITR:IND,1991-08-13,2422.8,2422.8,2422.8,2422.8,
SPGSCITR:IND,1991-08-12,2429.5,2429.5,2429.5,2429.5,
SPGSCITR:IND,1991-08-09,2424.6,2424.6,2424.6,2424.6,
SPGSCITR:IND,1991-08-08,2415.7,2415.7,2415.7,2415.7,
SPGSCITR:IND,1991-08-07,2405.1,2405.1,2405.1,2405.1,
SPGSCITR:IND,1991-08-06,2414.7,2414.7,2414.7,2414.7,
SPGSCITR:IND,1991-08-05,2432.1,2432.1,2432.1,2432.1,
SPGSCITR:IND,1991-08-02,2433.3,2433.3,2433.3,2433.3,
SPGSCITR:IND,1991-08-01,2428,2428,2428,2428,
SPGSCITR:IND,1991-07-31,2441.4,2441.4,2441.4,2441.4,
SPGSCITR:IND,1991-07-30,2413.3,2413.3,2413.3,2413.3,
SPGSCITR:IND,1991-07-29,2406.1,2406.1,2406.1,2406.1,
SPGSCITR:IND,1991-07-26,2411.2,2411.2,2411.2,2411.2,
SPGSCITR:IND,1991-07-25,2405.1,2405.1,2405.1,2405.1,
SPGSCITR:IND,1991-07-24,2406.1,2406.1,2406.1,2406.1,
SPGSCITR:IND,1991-07-23,2400.3,2400.3,2400.3,2400.3,
SPGSCITR:IND,1991-07-22,2414.6,2414.6,2414.6,2414.6,
SPGSCITR:IND,1991-07-19,2417,2417,2417,2417,
SPGSCITR:IND,1991-07-18,2401.6,2401.6,2401.6,2401.6,
SPGSCITR:IND,1991-07-17,2415.4,2415.4,2415.4,2415.4,
SPGSCITR:IND,1991-07-16,2393.1,2393.1,2393.1,2393.1,
