Symbol,Date,Open,High,Low,Close
SPGSCITR:IND,30-08-2018,2754.744,2754.744,2754.744,2754.744
SPGSCITR:IND,29-08-2018,2746.942,2746.942,2746.942,2746.942
SPGSCITR:IND,28-08-2018,2719.431,2719.431,2719.431,2719.431
SPGSCITR:IND,27-08-2018,2729.437,2729.437,2729.437,2729.437
SPGSCITR:IND,24-08-2018,2721.512,2721.512,2721.512,2721.512
SPGSCITR:IND,23-08-2018,2694.986,2694.986,2694.986,2694.986
SPGSCITR:IND,22-08-2018,2700.883,2700.883,2700.883,2700.883
SPGSCITR:IND,21-08-2018,2662.552,2662.552,2662.552,2662.552
SPGSCITR:IND,20-08-2018,2653.829,2653.829,2653.829,2653.829
SPGSCITR:IND,17-08-2018,2649.119,2649.119,2649.119,2649.119
SPGSCITR:IND,16-08-2018,2635.703,2635.703,2635.703,2635.703
SPGSCITR:IND,15-08-2018,2610.648,2610.648,2610.648,2610.648
SPGSCITR:IND,14-08-2018,2668.379,2668.379,2668.379,2668.379
SPGSCITR:IND,13-08-2018,2668.773,2668.773,2668.773,2668.773
SPGSCITR:IND,10-08-2018,2686.231,2686.231,2686.231,2686.231
SPGSCITR:IND,09-08-2018,2679.781,2679.781,2679.781,2679.781
SPGSCITR:IND,08-08-2018,2686.615,2686.615,2686.615,2686.615
SPGSCITR:IND,07-08-2018,2734.594,2734.594,2734.594,2734.594
SPGSCITR:IND,06-08-2018,2720.974,2720.974,2720.974,2720.974
SPGSCITR:IND,03-08-2018,2706.741,2706.741,2706.741,2706.741
SPGSCITR:IND,02-08-2018,2705.9,2705.9,2705.9,2705.9
SPGSCITR:IND,01-08-2018,2679.361,2679.361,2679.361,2679.361
SPGSCITR:IND,31-07-2018,2722.025,2722.025,2722.025,2722.025
SPGSCITR:IND,30-07-2018,2748.658,2748.658,2748.658,2748.658
SPGSCITR:IND,27-07-2018,2720.4,2720.4,2720.4,2720.4
SPGSCITR:IND,26-07-2018,2734,2734,2734,2734
SPGSCITR:IND,25-07-2018,2723.868,2723.868,2723.868,2723.868
SPGSCITR:IND,24-07-2018,2696.247,2696.247,2696.247,2696.247
SPGSCITR:IND,23-07-2018,2680.092,2680.092,2680.092,2680.092
SPGSCITR:IND,20-07-2018,2677.947,2677.947,2677.947,2677.947
SPGSCITR:IND,19-07-2018,2663.758,2663.758,2663.758,2663.758
SPGSCITR:IND,18-07-2018,2658.426,2658.426,2658.426,2658.426
SPGSCITR:IND,17-07-2018,2642.391,2642.391,2642.391,2642.391
SPGSCITR:IND,16-07-2018,2637.283,2637.283,2637.283,2637.283
SPGSCITR:IND,13-07-2018,2710.775,2710.775,2710.775,2710.775
SPGSCITR:IND,12-07-2018,2695.233,2695.233,2695.233,2695.233
SPGSCITR:IND,11-07-2018,2678.596,2678.596,2678.596,2678.596
SPGSCITR:IND,10-07-2018,2793.854,2793.854,2793.854,2793.854
SPGSCITR:IND,09-07-2018,2793.043,2793.043,2793.043,2793.043
SPGSCITR:IND,06-07-2018,2783.865,2783.865,2783.865,2783.865
SPGSCITR:IND,05-07-2018,2771.453,2771.453,2771.453,2771.453
SPGSCITR:IND,04-07-2018,2784.952,2784.952,2784.952,2784.952
SPGSCITR:IND,03-07-2018,2784.952,2784.952,2784.952,2784.952
SPGSCITR:IND,02-07-2018,2776.562,2776.562,2776.562,2776.562
SPGSCITR:IND,29-06-2018,2821.646,2821.646,2821.646,2821.646
SPGSCITR:IND,28-06-2018,2787.396,2787.396,2787.396,2787.396
SPGSCITR:IND,27-06-2018,2785.425,2785.425,2785.425,2785.425
SPGSCITR:IND,26-06-2018,2737.964,2737.964,2737.964,2737.964
SPGSCITR:IND,25-06-2018,2698.544,2698.544,2698.544,2698.544
SPGSCITR:IND,22-06-2018,2728.103,2728.103,2728.103,2728.103
SPGSCITR:IND,21-06-2018,2665.949,2665.949,2665.949,2665.949
SPGSCITR:IND,20-06-2018,2683.34,2683.34,2683.34,2683.34
SPGSCITR:IND,19-06-2018,2676.733,2676.733,2676.733,2676.733
SPGSCITR:IND,18-06-2018,2704.003,2704.003,2704.003,2704.003
SPGSCITR:IND,15-06-2018,2681.764,2681.764,2681.764,2681.764
SPGSCITR:IND,14-06-2018,2742.521,2742.521,2742.521,2742.521
SPGSCITR:IND,13-06-2018,2764.763,2764.763,2764.763,2764.763
SPGSCITR:IND,12-06-2018,2755.892,2755.892,2755.892,2755.892
SPGSCITR:IND,11-06-2018,2749.383,2749.383,2749.383,2749.383
SPGSCITR:IND,08-06-2018,2753.771,2753.771,2753.771,2753.771
SPGSCITR:IND,07-06-2018,2761.217,2761.217,2761.217,2761.217
SPGSCITR:IND,06-06-2018,2726.111,2726.111,2726.111,2726.111
SPGSCITR:IND,05-06-2018,2731.266,2731.266,2731.266,2731.266
SPGSCITR:IND,04-06-2018,2721.31,2721.31,2721.31,2721.31
SPGSCITR:IND,01-06-2018,2759.11,2759.11,2759.11,2759.11
SPGSCITR:IND,31-05-2018,2783.918,2783.918,2783.918,2783.918
SPGSCITR:IND,30-05-2018,2796.853,2796.853,2796.853,2796.853
SPGSCITR:IND,29-05-2018,2758.479,2758.479,2758.479,2758.479
SPGSCITR:IND,28-05-2018,2786.756,2786.756,2786.756,2786.756
SPGSCITR:IND,25-05-2018,2786.756,2786.756,2786.756,2786.756
SPGSCITR:IND,24-05-2018,2841.062,2841.062,2841.062,2841.062
